step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
322,103,2607,1.0526315789473684,-24.0,84.76518218623481,3.10477284806517,10.12569004756243,6.0,6,0.0
323,125,1825,11.333333333333334,-3.764705882352941,281.14473684210526,-0.054702932828545686,0.5303573067494654,6.0,6,0.0
324,87,2237,3.4444444444444446,-1.5,53.98029556650247,-1.5457559790042332,2.7526863556619605,6.0,6,0.0
325,85,512,8.0,-6.75,98.47619047619048,-0.7607799856752089,-0.7514388919858312,6.0,6,0.0
326,142,5241,23.5,-1.2241379310344827,155.75677966101694,1.8960086989068325,6.750864235756426,6.0,6,0.0
327,100,272,10.5,-7.0,114.33333333333334,-0.9352195295828284,,6.0,6,0.0
328,140,291,33.0,-63.0,1389.0,1.719433692081859,,6.0,6,0.0
329,77,77,0.0,0.0,,,,6.0,6,
330,110,216,0.0,-4.0,8.0,,,6.0,6,0.0
331,150,252,24.0,0.0,1152.0,,,6.0,6,0.0
332,163,304,11.0,0.0,242.0,,,6.0,6,0.0
333,139,226,26.0,0.0,1352.0,,,6.0,6,0.0
334,131,216,23.0,0.0,1058.0,,,6.0,6,0.0
335,118,197,19.5,0.0,760.5,,,6.0,6,0.0
336,171,306,0.0,-36.0,648.0,,,6.0,6,0.0
337,110,186,17.0,0.0,578.0,,,6.0,6,0.0
338,206,362,70.5,-115.0,5630.333333333333,1.5010461050198887,,6.0,6,0.0
339,116,177,0.0,-55.0,1512.5,,,6.0,6,0.0
340,130,382,24.0,-17.0,1037.6666666666667,-0.18667999936598764,-2.565176612918954,6.0,6,0.0
341,109,495,10.6,-42.0,396.7,-0.018338976110050573,-1.3721375026855345,6.0,6,0.0
342,172,857,27.0,-8.5,1650.1666666666667,-1.9750530956362942,4.000888656297494,6.0,6,0.0
343,138,368,10.0,-26.0,185.33333333333334,1.361301396376004,,6.0,6,0.0
344,82,143,0.0,-21.0,220.5,,,6.0,6,0.0
345,217,1066,53.666666666666664,-37.0,4084.571428571429,-0.9317941857847553,-0.9865433134645585,6.0,6,0.0
346,82,239,3.0,-1.0,10.333333333333332,-1.5453925256950345,,6.0,6,0.0
347,107,353,10.0,-25.0,506.25,-1.2482853223593964,0.9760707209266872,31.5,32,0.3333333333333333
348,57,57,0.0,0.0,,,,28.0,28,
349,103,103,0.0,0.0,,,,29.0,29,
350,94,94,0.0,0.0,,,,29.0,29,
351,79,139,0.0,-19.0,180.5,,,29.0,29,0.0
352,77,77,0.0,0.0,,,,29.0,29,
353,109,109,0.0,0.0,,,,29.0,29,
354,113,113,0.0,0.0,,,,29.0,29,
355,69,69,0.0,0.0,,,,29.0,29,
356,79,79,0.0,0.0,,,,29.0,29,
357,64,64,0.0,0.0,,,,29.0,29,
358,97,97,0.0,0.0,,,,29.0,29,
359,67,128,3.0,0.0,18.0,,,29.0,29,0.0
360,124,124,0.0,0.0,,,,29.0,29,
361,98,98,0.0,0.0,,,,29.0,29,
362,67,123,0.0,-11.0,60.5,,,29.0,29,0.0
363,58,58,0.0,0.0,,,,30.0,30,
364,59,59,0.0,0.0,,,,31.0,31,
365,71,129,6.5,0.0,84.5,,,31.0,31,0.0
366,74,74,0.0,0.0,,,,31.0,31,
367,77,77,0.0,0.0,,,,32.0,32,
368,61,61,0.0,0.0,,,,32.0,32,
369,71,71,0.0,0.0,,,,32.0,32,
370,69,69,0.0,0.0,,,,32.0,32,
371,95,95,0.0,0.0,,,,32.0,32,
372,78,78,0.0,0.0,,,,32.0,32,
373,89,89,0.0,0.0,,,,32.0,32,
374,89,154,12.0,0.0,288.0,,,32.0,32,0.0
375,59,59,0.0,0.0,,,,33.0,33,
376,67,252,1.6666666666666667,-10.0,20.666666666666668,-0.8940743464205088,-0.7476586888657657,33.0,33,0.0
377,90,90,0.0,0.0,,,,32.0,32,
378,58,58,0.0,0.0,,,,33.0,33,
379,87,87,0.0,0.0,,,,33.0,33,
380,79,79,0.0,0.0,,,,33.0,33,
381,69,69,0.0,0.0,,,,32.0,32,
382,70,70,0.0,0.0,,,,32.0,32,
383,129,210,0.0,-48.0,1152.0,,,32.0,32,0.0
384,93,169,8.5,0.0,144.5,,,32.0,32,0.0
385,322,557,0.0,-87.0,3784.5,,,32.0,32,0.0
386,183,333,16.5,0.0,544.5,,,32.0,32,0.0
387,165,225,52.5,0.0,5512.5,,,32.0,32,0.0
388,186,263,54.5,0.0,5940.5,,,32.0,32,0.0
389,165,165,0.0,0.0,,,,32.0,32,
390,121,121,0.0,0.0,,,,32.0,32,
391,107,107,0.0,0.0,,,,32.0,32,
392,111,111,0.0,0.0,,,,32.0,32,
393,70,131,4.5,0.0,40.5,,,32.0,32,0.0
394,100,100,0.0,0.0,,,,32.0,32,
395,151,151,0.0,0.0,,,,32.0,32,
396,111,111,0.0,0.0,,,,32.0,32,
397,85,166,0.0,-4.0,8.0,,,32.0,32,0.0
398,133,133,0.0,0.0,,,,32.0,32,
399,142,142,0.0,0.0,,,,32.0,32,
400,120,192,0.0,-48.0,1152.0,,,32.0,32,0.0
401,121,121,0.0,0.0,,,,32.0,32,
402,110,110,0.0,0.0,,,,31.0,31,
403,83,148,9.0,0.0,162.0,,,31.0,31,0.0
404,141,141,0.0,0.0,,,,32.0,32,
405,110,110,0.0,0.0,,,,31.0,31,
406,147,271,11.5,0.0,264.5,,,31.0,31,0.0
407,214,214,0.0,0.0,,,,31.0,31,
408,200,200,0.0,0.0,,,,30.0,30,
409,109,109,0.0,0.0,,,,30.0,30,
410,163,242,0.0,-84.0,3528.0,,,30.0,30,0.0
411,167,167,0.0,0.0,,,,30.0,30,
412,116,191,20.5,0.0,840.5,,,30.0,30,0.0
413,120,120,0.0,0.0,,,,30.0,30,
414,139,139,0.0,0.0,,,,30.0,30,
415,169,169,0.0,0.0,,,,30.0,30,
416,157,213,50.5,0.0,5100.5,,,30.0,30,0.0
417,165,165,0.0,0.0,,,,30.0,30,
418,124,124,0.0,0.0,,,,30.0,30,
419,127,127,0.0,0.0,,,,30.0,30,
420,129,186,36.0,0.0,2592.0,,,30.0,30,0.0
421,117,117,0.0,0.0,,,,30.0,30,
422,143,143,0.0,0.0,,,,30.0,30,
423,148,148,0.0,0.0,,,,30.0,30,
424,152,152,0.0,0.0,,,,30.0,30,
425,163,163,0.0,0.0,,,,30.0,30,
426,144,144,0.0,0.0,,,,30.0,30,
427,125,125,0.0,0.0,,,,30.0,30,
428,120,120,0.0,0.0,,,,30.0,30,
429,113,179,0.0,-47.0,1104.5,,,30.0,30,0.0
430,132,132,0.0,0.0,,,,30.0,30,
431,106,175,0.0,-37.0,684.5,,,30.0,30,0.0
432,142,142,0.0,0.0,,,,30.0,30,
433,146,235,28.5,0.0,1624.5,,,30.0,30,0.0
434,158,158,0.0,0.0,,,,30.0,30,
